Holes,Strengths
AKs,0.671475
AQs,0.66215
AJs,0.653205
ATs,0.647015
A9s,0.626315
A8s,0.62002
A7s,0.608115
A6s,0.600065
A5s,0.59922
A4s,0.59113
A3s,0.583895
A2s,0.57271
KQs,0.633385
KJs,0.626785
KTs,0.614845
K9s,0.60096
K8s,0.58193
K7s,0.575565
K6s,0.565335
K5s,0.559905
K4s,0.54996
K3s,0.541725
K2s,0.53198
QJs,0.604645
QTs,0.59525
Q9s,0.577445
Q8s,0.559445
Q7s,0.53985
Q6s,0.5339
Q5s,0.525805
Q4s,0.51599
Q3s,0.51228
Q2s,0.503725
JTs,0.57479
J9s,0.555795
J8s,0.54142
J7s,0.522125
J6s,0.502955
J5s,0.49895
J4s,0.48794
J3s,0.481705
J2s,0.474625
T9s,0.540755
T8s,0.52169
T7s,0.509335
T6s,0.492305
T5s,0.472935
T4s,0.46681
T3s,0.45684
T2s,0.44675
98s,0.50805
97s,0.492255
96s,0.472305
95s,0.4585
94s,0.43923
93s,0.431735
92s,0.424375
87s,0.47796
86s,0.4622
85s,0.448545
84s,0.42973
83s,0.4091
82s,0.39936
76s,0.454905
75s,0.438635
74s,0.41864
73s,0.401565
72s,0.38027
65s,0.42917
64s,0.41259
63s,0.395155
62s,0.376495
54s,0.414995
53s,0.39277
52s,0.37683
43s,0.384095
42s,0.369115
32s,0.36001
AKo,0.65167
AQo,0.64317
AJo,0.63378
ATo,0.62685
A9o,0.610555
A8o,0.596315
A7o,0.58917
A6o,0.579515
A5o,0.576665
A4o,0.570405
A3o,0.557395
A2o,0.55047
KQo,0.61358
KJo,0.605205
KTo,0.594655
K9o,0.57952
K8o,0.56052
K7o,0.550595
K6o,0.54371
K5o,0.530825
K4o,0.524005
K3o,0.5159
K2o,0.50552
QJo,0.582065
QTo,0.57005
Q9o,0.553195
Q8o,0.53458
Q7o,0.51674
Q6o,0.509365
Q5o,0.49917
Q4o,0.49162
Q3o,0.48195
Q2o,0.472485
JTo,0.55206
J9o,0.530885
J8o,0.51484
J7o,0.49561
J6o,0.477905
J5o,0.47175
J4o,0.46169
J3o,0.45584
J2o,0.448045
T9o,0.516755
T8o,0.495645
T7o,0.480455
T6o,0.45882
T5o,0.443885
T4o,0.43631
T3o,0.426025
T2o,0.418015
98o,0.478355
97o,0.462535
96o,0.44553
95o,0.425605
94o,0.406815
93o,0.39895
92o,0.38964
87o,0.448635
86o,0.435185
85o,0.416775
84o,0.39718
83o,0.37489
82o,0.367885
76o,0.423225
75o,0.40549
74o,0.38715
73o,0.36684
72o,0.34602
65o,0.401335
64o,0.38176
63o,0.36267
62o,0.340785
54o,0.3796
53o,0.36325
52o,0.34182
43o,0.35171
42o,0.329445
32o,0.321875
AAo,0.85388
KKo,0.823285
QQo,0.799355
JJo,0.77501
TTo,0.75475
99o,0.719115
88o,0.692185
77o,0.66207
66o,0.631365
55o,0.60212
44o,0.56875
33o,0.53692
22o,0.50181
